model,n_qubits,depth,grad_var_mean,grad_var_std
B6-Global,18,3,5.540166587622905e-11,6.021366268502573e-11
B6-Global,18,4,2.5472749755585147e-10,7.954058186795336e-11
B6-Global,18,5,8.971472390448594e-11,4.68362954145587e-11
B6-Global,18,10,9.713377914069927e-11,3.633111439147691e-11
B6-Global,18,15,3.6305077735464187e-11,1.6434980668530067e-11
B6-Global,18,20,6.594042731817906e-11,3.147285815189178e-11
B6-Global,18,25,3.526918382908717e-11,9.785853008312094e-12
B7-Glob96,2,1,0.0525882716993832,0.023778245553821603
B7-Glob96,2,2,0.05229434312516798,0.00793267565258063
B7-Glob96,2,3,0.05491004276198866,0.011478718673995714
B7-Glob96,2,4,0.03425546553581458,0.0033802391626267013
B7-Glob96,2,5,0.07647428712922916,0.011376607050124233
B7-Glob96,2,10,0.03840964874877237,0.01495465156979231
B7-Glob96,2,15,0.06311105628492027,0.007921680589306068
B7-Glob96,2,20,0.05627960543026814,0.01930936349681009
B7-Glob96,2,25,0.03899573283290823,0.022127467635683268
B7-Glob96,4,1,0.008802574623415237,0.0036629033300046203
B7-Glob96,4,2,0.00962926055860961,0.00024896034339860025
B7-Glob96,4,3,0.015170437032030906,0.0014722753532502098
B7-Glob96,4,4,0.011272742030317163,0.004131313456965852
B7-Glob96,4,5,0.01415496347797704,0.0029565019723015685
B7-Glob96,4,10,0.012127536614640333,0.002423143193355339
B7-Glob96,4,15,0.01695353338083684,0.002624314815098624
B7-Glob96,4,20,0.012396071408662517,0.002743552400857878
B7-Glob96,4,25,0.009943603136092456,0.0016811056350459785
B7-Glob96,6,1,0.0007767848890495055,0.00033512209570334876
B7-Glob96,6,2,0.0012239895916201524,0.00015445329123964515
B7-Glob96,6,3,0.0011287867824909007,0.00015065521723603114
B7-Glob96,6,4,0.0009209016164412722,0.0002402101433095512
B7-Glob96,6,5,0.0006515465239426132,0.00018708320551930497
B7-Glob96,6,10,0.0010754586374769803,9.300657095368788e-05
B7-Glob96,6,15,0.0007703012651816688,0.0004019486838593198
B7-Glob96,6,20,0.0005905465895175201,0.00033215816690645614
B7-Glob96,6,25,0.0008203893740926798,0.00022994793046899643
B7-Glob96,8,1,3.076152730319934e-05,1.812305450900776e-05
B7-Glob96,8,2,9.555651045087435e-05,2.929885272589452e-05
B7-Glob96,8,3,6.032702388906175e-05,2.548407557701261e-05
B7-Glob96,8,4,6.0100831692852084e-05,1.3003285297323198e-05
B7-Glob96,8,5,7.159903950962537e-05,1.0700019636902814e-05
B7-Glob96,8,10,3.570634958236039e-05,8.776000984245468e-06
B7-Glob96,8,15,9.455173765110052e-05,2.868680781552155e-05
B7-Glob96,8,20,5.021063105143435e-05,1.4615123911786437e-05
B7-Glob96,8,25,4.891515378095879e-05,2.3707872316655635e-06
B7-Glob96,10,1,6.141739189241384e-06,3.1906218122762106e-06
B7-Glob96,10,2,3.43620359670985e-06,1.5148148763527558e-06
B7-Glob96,10,3,4.880356022612761e-06,1.7437109591361908e-06
B7-Glob96,10,4,1.7362890533286833e-06,3.980732908582171e-07
B7-Glob96,10,5,3.7327198085098708e-06,8.038300642985952e-07
B7-Glob96,10,10,3.700944568636883e-06,5.572873467056052e-07
B7-Glob96,10,15,3.608577333457827e-06,1.5498518051599285e-06
B7-Glob96,10,20,2.4616331364477414e-06,9.053725400222171e-07
B7-Glob96,10,25,4.3449515292294855e-06,1.8820382879526349e-06
B7-Glob96,12,1,2.5681917363558606e-07,3.326012091565364e-07
B7-Glob96,12,2,3.720226325884498e-07,2.1244100996901225e-07
B7-Glob96,12,3,4.4742644869943784e-07,2.41077319412715e-07
B7-Glob96,12,4,1.283173820356888e-07,2.9029413960737218e-08
B7-Glob96,12,5,1.7947153121795166e-07,2.8025296053896845e-08
B7-Glob96,12,10,2.290302950973778e-07,6.674363875146344e-08
B7-Glob96,12,15,3.0346353750638966e-07,9.633944944479095e-08
B7-Glob96,12,20,2.873758477982334e-07,4.685352808008002e-08
B7-Glob96,12,25,2.471813275433366e-07,1.1870908741179657e-07
B7-Glob96,14,1,3.067809966488559e-08,4.139281887274469e-08
B7-Glob96,14,2,6.55339834513508e-09,1.9382231219425007e-09
B7-Glob96,14,3,2.0123795205787213e-08,4.880561534034236e-09
B7-Glob96,14,4,2.5049508557633515e-08,5.413139215806011e-09
B7-Glob96,14,5,1.5474315458664967e-08,3.159430414547853e-09
B7-Glob96,14,10,1.7381565916094816e-08,3.680566482448553e-09
B7-Glob96,14,15,2.4259972987619923e-08,5.506485720111457e-09
B7-Glob96,14,20,1.420391777413717e-08,7.1496067283773944e-09
B7-Glob96,14,25,1.7938401391281692e-08,8.117961434938157e-09
B7-Glob96,18,1,2.1741299771107038e-09,3.057856186093806e-09
B7-Glob96,18,2,8.727765658613336e-12,1.226257506142898e-11
B7-Glob96,18,3,5.540166587622905e-11,6.021366268502573e-11
B7-Glob96,18,4,2.5472749755585147e-10,7.954058186795336e-11
B7-Glob96,18,5,8.971472390448594e-11,4.68362954145587e-11
B7-Glob96,18,10,9.713377914069927e-11,3.633111439147691e-11
B7-Glob96,18,15,3.6305077735464187e-11,1.6434980668530067e-11
B7-Glob96,18,20,6.594042731817906e-11,3.147285815189178e-11
B7-Glob96,18,25,3.526918382908717e-11,9.785853008312094e-12
