model,theta1,theta2,cost
QCN,6.283185,2.094395,0.18813668631186733
QCN,0.0,2.356194,0.223837408434457
QCN,0.261799,2.356194,0.21530490684460135
QCN,0.523599,2.356194,0.20008725511234426
QCN,0.785398,2.356194,0.18033926892142868
QCN,1.047198,2.356194,0.1586668365225999
QCN,1.308997,2.356194,0.1376116901501301
QCN,1.570796,2.356194,0.11919288107245639
QCN,1.832596,2.356194,0.10461265460483295
QCN,2.094395,2.356194,0.09418871129756858
QCN,2.356194,2.356194,0.08751366779412384
QCN,2.617994,2.356194,0.08378232165130356
QCN,2.879793,2.356194,0.08218416616071932
QCN,3.141593,2.356194,0.08224393513955004
QCN,3.403392,2.356194,0.08401052151552922
QCN,3.665191,2.356194,0.08803945313505268
QCN,3.926991,2.356194,0.09517392283292221
QCN,4.18879,2.356194,0.10618782391642113
QCN,4.45059,2.356194,0.12139536900972155
QCN,4.712389,2.356194,0.14034436688479893
QCN,4.974188,2.356194,0.16169050856629885
QCN,5.235988,2.356194,0.183303171986297
QCN,5.497787,2.356194,0.20259173198278754
QCN,5.759587,2.356194,0.21698160944093803
QCN,6.021386,2.356194,0.2244273662106917
QCN,6.283185,2.356194,0.2238374084344569
QCN,0.0,2.617994,0.24278804360205689
QCN,0.261799,2.617994,0.23474729777802042
QCN,0.523599,2.617994,0.22136321007517365
QCN,0.785398,2.617994,0.20422049662572875
QCN,1.047198,2.617994,0.18520563100673515
QCN,1.308997,2.617994,0.1661858361106367
QCN,1.570796,2.617994,0.14872873217384114
QCN,1.832596,2.617994,0.13392277053095863
QCN,2.094395,2.617994,0.12233017966073878
QCN,2.356194,2.617994,0.11406836279980836
QCN,2.617994,2.617994,0.10898212312880179
QCN,2.879793,2.617994,0.1068466882518273
QCN,3.141593,2.617994,0.1075361318808421
QCN,3.403392,2.617994,0.11110469102134231
QCN,3.665191,2.617994,0.1177559476044303
QCN,3.926991,2.617994,0.1277092421592063
QCN,4.18879,2.617994,0.14100450009549945
QCN,4.45059,2.617994,0.15730706278046616
QCN,4.712389,2.617994,0.17577739015432023
QCN,4.974188,2.617994,0.19505553848073884
QCN,5.235988,2.617994,0.21338096047071806
QCN,5.497787,2.617994,0.2288321962263162
QCN,5.759587,2.617994,0.23963804358002375
QCN,6.021386,2.617994,0.24449071066812988
QCN,6.283185,2.617994,0.242788043602057
QCN,0.0,2.879793,0.23994483884603188
QCN,0.261799,2.879793,0.23321857212833677
QCN,0.523599,2.879793,0.22342117370463596
QCN,0.785398,2.879793,0.21149884726723708
QCN,1.047198,2.879793,0.19852385404769665
QCN,1.308997,2.879793,0.18555183364856084
QCN,1.570796,2.879793,0.17350393336934258
QCN,1.832596,2.879793,0.16309408578009923
QCN,2.094395,2.879793,0.1548090559501163
QCN,2.356194,2.879793,0.14893492778994885
QCN,2.617994,2.879793,0.14561223903883216
QCN,2.879793,2.879793,0.14489601018732803
QCN,3.141593,2.879793,0.14679792550145318
QCN,3.403392,2.879793,0.15129548451948813
QCN,3.665191,2.879793,0.1583048348677566
QCN,3.926991,2.879793,0.16762682808422244
QCN,4.18879,2.879793,0.17888596012392943
QCN,4.45059,2.879793,0.19148635500179226
QCN,4.712389,2.879793,0.20460644217660953
QCN,4.974188,2.879793,0.21724499746551265
QCN,5.235988,2.879793,0.22831807537092752
QCN,5.497787,2.879793,0.23679253675202874
QCN,5.759587,2.879793,0.24183108668297848
QCN,6.021386,2.879793,0.2429189410557556
QCN,6.283185,2.879793,0.2399448388460317
QCN,0.0,3.141593,0.21603807211174772
QCN,0.261799,3.141593,0.2111050160160388
QCN,0.523599,3.141593,0.20568008480304953
QCN,0.785398,3.141593,0.20015811491646152
QCN,1.047198,3.141593,0.19491716030752113
